7341; 1194; 80311
190; 0; 1063
2831; 163; 27185
9236; 1859; 103986
1590; 50; 13924
9148; 1666; 102911
1879; 70; 16829
5695; 647; 60326
2693; 144; 25592
8586; 1460; 95555
8056; 1289; 88896
2817; 158; 26916
1416; 40; 12160
6369; 804; 68402
1906; 73; 17140
694; 9; 5251
9287; 1719; 104659
300; 1; 1901
3280; 215; 32145
3938; 308; 39512
4467; 399; 45480
7636; 1155; 84015
3492; 243; 34507
4368; 378; 44478
801; 14; 6244
3572; 254; 35292
6824; 923; 73903
1203; 29; 9993
7067; 1009; 76884
6718; 924; 72692
7750; 1188; 85233
2153; 93; 19746
8228; 1336; 91148
9795; 1886; 111197
1200; 29; 9945
3422; 231; 33691
2919; 171; 28127
9486; 1774; 107179
2104; 87; 19176
4317; 369; 43850
1194; 28; 9988
7116; 998; 77488
4946; 483; 51225
289; 1; 1835
5403; 578; 56713
8364; 1379; 92794
6741; 900; 73079
1337; 35; 11345
9159; 1653; 102998
9894; 1930; 112294
8765; 1516; 97937
8828; 1533; 98758
7859; 1219; 86544
6242; 766; 66812
6180; 754; 65995
9704; 1868; 109887
6697; 883; 72451
8463; 1415; 94099
8535; 1439; 95044
8017; 1265; 88668
2423; 116; 22679
776; 12; 6022
8627; 1468; 96196
5974; 705; 63643
935; 17; 7455
6003; 714; 64087
4588; 417; 47060
1621; 52; 14246
5268; 549; 55001
8483; 1422; 94300
7774; 1192; 85577
9801; 1893; 111171
8195; 1324; 90928
8963; 1607; 100496
2844; 159; 27242
7351; 1072; 80468
2789; 155; 26617
3302; 216; 32375
8964; 1589; 100537
2437; 119; 22789
6830; 918; 74105
5587; 619; 58948
2043; 83; 18585
7173; 1017; 78224
7953; 1246; 87632
8922; 1563; 100123
4294; 364; 43470
2086; 87; 18961
3714; 272; 37032
1496; 44; 12993
6724; 893; 72626
4455; 392; 45488
1051; 22; 8521
4086; 330; 41105
1993; 78; 18039
517; 5; 3673
8488; 1424; 94378
8972; 1596; 100659
9354; 1729; 105422
9400; 1745; 106102
